City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
152,Pemagatsel,61,BT,1587212146,56,27.03,91.43,60.04,2.21
153,St. George's,40,GD,1587212147,78,12.06,-61.75,80.6,11.41
154,Imbituba,75,BR,1587212082,60,-28.24,-48.67,68.0,4.7
155,Taoudenni,4,ML,1587212147,11,22.68,-3.98,103.69,6.6
156,Bantou,100,CN,1587212148,66,26.22,117.49,74.71,3.13
157,Nador,75,MA,1587212148,100,35.17,-2.93,64.4,6.02
158,Dicabisagan,96,PH,1587212148,83,17.08,122.42,80.06,7.09
159,Lamu,100,KE,1587212149,67,-2.27,40.9,86.0,6.89
160,Ribeira Grande,75,PT,1587212149,93,38.52,-28.7,62.6,12.75
161,Oussouye,96,SN,1587212149,65,12.48,-16.55,89.6,13.87
162,Esperance,75,AU,1587211924,88,-33.87,121.9,64.4,10.29
163,Bongandanga,100,CD,1587212149,74,1.5,21.05,76.78,2.15
164,Magé,75,BR,1587212149,78,-22.65,-43.04,71.6,3.36
165,Port Hedland,100,AU,1587212150,79,-20.32,118.57,84.2,8.05
166,Alofi,4,NU,1587212110,94,-19.06,-169.92,77.0,9.17
167,Ingersoll,90,CA,1587212150,100,43.03,-80.88,30.2,2.24
168,Songea,40,TZ,1587212151,69,-10.68,35.65,77.0,16.11
169,Balclutha,58,NZ,1587212151,86,-46.23,169.75,50.0,1.99
170,Togur,90,RU,1587212152,53,58.36,82.83,51.13,8.72
171,Aripuanã,83,BR,1587212152,90,-9.17,-60.63,74.28,4.65
172,Vostok,100,RU,1587212080,71,46.49,135.88,39.45,2.71
173,Bāglung,80,NP,1587212153,29,28.27,83.59,73.44,1.83
174,Marawi,60,PH,1587212153,73,8.0,124.29,70.81,2.71
175,Dongsheng,100,CN,1587212153,42,39.82,109.98,45.66,8.55
176,Joshīmath,75,IN,1587212153,26,30.57,79.57,57.67,2.3
177,Lakes Entrance,99,AU,1587212154,74,-37.88,147.98,55.99,4.0
178,Chui,0,UY,1587212154,80,-33.7,-53.46,64.24,0.74
179,Turaif,75,SA,1587212154,33,31.67,38.66,77.0,9.17
180,San Francisco,90,US,1587211920,62,37.77,-122.42,55.99,4.7
181,Baswa,100,IN,1587212155,11,27.15,76.58,98.89,13.44
182,Saskylakh,0,RU,1587212155,86,71.92,114.08,8.74,3.69
183,Gävle,0,SE,1587212049,38,60.67,17.14,51.01,5.99
184,Kaitangata,50,NZ,1587212155,86,-46.28,169.85,51.01,1.99
185,Sungai Penuh,99,ID,1587212155,73,-2.08,101.38,69.21,0.67
186,Severo-Kuril'sk,0,RU,1587212155,93,50.68,156.12,30.87,10.74
187,Kita,73,ML,1587212156,11,13.03,-9.49,108.37,1.7
188,Ust-Nera,100,RU,1587212156,77,64.57,143.2,-4.52,7.45
189,San Patricio,89,MX,1587212156,58,19.22,-104.7,74.86,4.14
190,Erdenet,73,MN,1587212156,51,49.03,104.08,33.4,15.14
191,Thompson,40,CA,1587212117,70,55.74,-97.86,-2.2,6.93
192,Marfino,40,RU,1587212157,55,55.7,37.38,39.2,11.18
193,Nanzhang,100,CN,1587212157,83,31.78,111.84,52.11,8.99
194,Te Anau,99,NZ,1587212157,78,-45.42,167.72,42.76,5.26
195,Dunedin,32,NZ,1587212158,91,-45.87,170.5,52.0,6.89
196,Buala,97,SB,1587212158,81,-8.14,159.59,80.56,7.61
197,Lázaro Cárdenas,0,MX,1587212158,59,17.96,-102.2,73.42,3.51
198,Alingsås,45,SE,1587212158,39,57.93,12.53,48.99,8.05
199,Taltal,26,CL,1587212158,66,-25.4,-70.48,65.25,0.67
200,Betanzos,40,ES,1587212158,82,43.28,-8.21,59.0,4.7
201,Antofagasta,90,CL,1587211975,82,-23.65,-70.4,62.6,1.12
202,Lékoni,81,GA,1587212159,44,-1.58,14.26,89.51,3.49
203,Raudeberg,0,NO,1587212159,31,61.99,5.14,50.0,3.36
204,Lorengau,96,PG,1587212159,74,-2.02,147.27,83.64,5.57
205,Mogadishu,40,SO,1587212020,59,2.04,45.34,91.4,11.41
206,Arvika,13,SE,1587212160,36,59.66,12.59,51.01,8.05
207,Tornio,90,FI,1587212160,55,65.85,24.15,39.2,21.92
208,Ternate,100,ID,1587212160,77,0.8,127.4,81.77,0.81
209,Āsosa,96,ET,1587212160,6,10.07,34.53,93.31,7.36
210,Kāzerūn,93,IR,1587212160,20,29.62,51.65,73.78,3.36
211,Port-Gentil,40,GA,1587212161,74,-0.72,8.78,87.8,11.41
212,Belmonte,90,BR,1587212161,94,-15.86,-38.88,73.4,6.93
213,Avera,75,US,1587212161,79,33.19,-82.53,63.0,10.85
214,Warrington,40,GB,1587212161,81,53.39,-2.58,50.0,5.82
215,Atuona,35,PF,1587212109,74,-9.8,-139.03,81.9,13.31
216,Sobolevo,97,RU,1587212161,58,54.43,31.9,43.25,15.01
217,Mackay,5,AU,1587211979,83,-21.15,149.2,75.99,5.82
218,Marrakesh,75,MA,1587212162,44,31.63,-8.01,75.2,4.7
219,Key West,1,US,1587212061,78,24.56,-81.78,81.0,8.05
220,Kruisfontein,1,ZA,1587212162,29,-34.0,24.73,80.44,8.34
221,Pevek,0,RU,1587211926,90,69.7,170.31,-2.34,7.29
222,Coripata,40,BO,1587212163,46,-16.3,-67.6,33.8,4.7
223,Kailua,40,US,1587211922,54,21.4,-157.74,78.8,10.29
224,Pangnirtung,100,CA,1587212163,87,66.15,-65.71,2.14,1.74
225,Hithadhoo,97,MV,1587212163,75,-0.6,73.08,84.27,14.38
